frame,file,lambda_A,w4_A,q,na,label,prob
11,004_1000_trajF.trr,1.0929189622402191,8.252013027668,-0.2181658087531375,2,nonreactive,0.13
12,004_1000_trajF.trr,1.0827359557151794,8.02798479795456,0.5003798007194955,2,nonreactive,0.13
0,004_999_trajB.trr,1.097269430756569,8.146867752075195,0.21830814471075777,1,nonreactive,0.13
1,004_999_trajB.trr,1.0959985107183456,7.955842018127441,0.4546091356163785,1,nonreactive,0.13
2,004_999_trajB.trr,1.0926374047994614,7.98539936542511,0.9529706417113283,1,nonreactive,0.13
3,004_999_trajB.trr,1.089891791343689,7.793779075145721,0.7061141567601698,0,nonreactive,0.13
4,004_999_trajB.trr,1.087336540222168,8.247468769550323,0.6662597251301534,0,nonreactive,0.13
5,004_999_trajB.trr,1.1018384993076324,8.070485591888428,0.7322545268150882,0,reactive,0.75
6,004_999_trajB.trr,1.1012311279773712,8.188901841640472,0.7933832256971745,0,reactive,0.75
7,004_999_trajB.trr,1.095905527472496,8.281626999378204,0.44430395140119594,1,nonreactive,0.13
8,004_999_trajB.trr,1.0930190235376358,8.1495800614357,0.3337067650358414,1,nonreactive,0.13
9,004_999_trajB.trr,1.0927517712116241,8.073776662349701,0.8935306136527326,1,nonreactive,0.13
10,004_999_trajB.trr,1.0881554335355759,7.844918966293335,0.7921099164471714,1,nonreactive,0.13
11,004_999_trajB.trr,1.098133996129036,8.091988265514374,0.4792370519584722,0,nonreactive,0.13
12,004_999_trajB.trr,1.0849322378635406,8.13663899898529,0.8960258396050141,1,nonreactive,0.13
0,004_1195_trajB.trr,1.1018174886703491,8.066665530204773,0.7582593419166305,1,reactive,0.75
1,004_1195_trajB.trr,1.0963381826877594,7.981218099594116,0.6902447866152137,0,nonreactive,0.13
2,004_1195_trajB.trr,1.0810230672359467,7.896283864974976,0.4826408716997008,0,nonreactive,0.13
0,004_1196_trajF.trr,1.1018174886703491,8.066665530204773,0.7582593419166305,1,reactive,0.75
1,004_1196_trajF.trr,1.0982630401849747,7.8951263427734375,0.3592994776837364,0,nonreactive,0.13
2,004_1196_trajF.trr,1.1017925292253494,8.069194853305817,0.42893623324913754,0,reactive,0.75
3,004_1196_trajF.trr,1.0904227197170258,7.839524447917938,0.7260398058650108,0,nonreactive,0.13
4,004_1196_trajF.trr,1.0923033952713013,7.949112355709076,0.0650356819152278,0,nonreactive,0.13
5,004_1196_trajF.trr,1.114080771803856,7.779884040355682,0.7748426163915171,1,reactive,0.75
6,004_1196_trajF.trr,1.0844407230615616,8.03860992193222,0.819802256969708,1,nonreactive,0.13
0,004_1344_trajB.trr,1.1138227581977844,7.999364137649536,0.9184426710839438,1,reactive,0.75
1,004_1344_trajB.trr,1.0809437185525894,8.142364621162415,0.5151880087703392,2,nonreactive,0.13
0,004_1345_trajF.trr,1.1138227581977844,7.999364137649536,0.9184426710839438,1,reactive,0.75
1,004_1345_trajF.trr,1.0835932195186615,7.87971705198288,0.621165731753812,1,nonreactive,0.13
0,003_1453_trajB.trr,1.0898636281490326,7.963974475860596,0.8331230013439648,1,nonreactive,0.13
1,003_1453_trajB.trr,1.0923134535551071,7.960593402385712,0.6308854982455572,0,nonreactive,0.13
2,003_1453_trajB.trr,1.0973026603460312,7.8930288553237915,0.2372902039708431,1,nonreactive,0.13
3,003_1453_trajB.trr,1.093863695859909,8.132298290729523,0.7422878693096613,1,nonreactive,0.13
4,003_1453_trajB.trr,1.0906432569026947,7.962331771850586,0.7756898070317607,2,nonreactive,0.13
5,003_1453_trajB.trr,1.1003593355417252,8.049160838127136,0.6708053849394552,0,reactive,0.75
6,003_1453_trajB.trr,1.0937904566526413,8.062496483325958,0.03604235829949787,1,nonreactive,0.13
7,003_1453_trajB.trr,1.0841000080108643,8.018291890621185,0.9565346465510974,0,nonreactive,0.13
0,003_1454_trajF.trr,1.0898636281490326,7.963974475860596,0.8331230013439648,1,nonreactive,0.13
1,003_1454_trajF.trr,1.0854960978031158,8.078419268131256,0.4047738440469111,1,nonreactive,0.13
2,003_1454_trajF.trr,1.0921556502580643,7.948978543281555,0.7867797668696185,1,nonreactive,0.13
3,003_1454_trajF.trr,1.0932490974664688,8.118477165699005,0.21528584011322438,0,nonreactive,0.13
4,003_1454_trajF.trr,1.0920777916908264,8.24422150850296,0.7082570061085998,0,nonreactive,0.13
5,003_1454_trajF.trr,1.098002940416336,8.210127055644989,0.7431185217034634,1,nonreactive,0.13
6,003_1454_trajF.trr,1.0886135697364807,7.917776107788086,0.39555246969171254,1,nonreactive,0.13
7,003_1454_trajF.trr,1.091250702738762,8.089935183525085,0.616438652598039,1,nonreactive,0.13
8,003_1454_trajF.trr,1.1027558892965317,8.149067759513855,0.5616320840002684,1,reactive,0.75
9,003_1454_trajF.trr,1.0929526388645172,8.090975880622864,0.703775174360604,1,nonreactive,0.13
